id,date,prcp,tmax,tmin
CYE00100071,2010-01-01,0,215,104
CYE00100071,2010-01-02,0,219,120
CYE00100071,2010-01-03,0,200,140
CYE00100071,2010-01-04,0,197,139
CYE00100071,2010-01-05,0,190,98
CYE00100071,2010-01-06,0,200,80
CYE00100071,2010-01-07,0,200,95
CYE00100071,2010-01-08,0,200,105
CYE00100071,2010-01-09,0,219,90
CYE00100071,2010-01-10,0,219,80
CYE00100071,2010-01-11,3,191,110
CYE00100071,2010-01-12,70,170,103
CYE00100071,2010-01-13,33,184,112
CYE00100071,2010-01-14,3,190,113
CYE00100071,2010-01-15,0,201,119
CYE00100071,2010-01-16,0,191,122
CYE00100071,2010-01-17,780,191,125
CYE00100071,2010-01-18,112,175,130
CYE00100071,2010-01-19,17,186,122
CYE00100071,2010-01-20,3,172,109
CYE00100071,2010-01-21,68,167,79
CYE00100071,2010-01-22,17,170,76
CYE00100071,2010-01-23,29,182,120
CYE00100071,2010-01-24,2,155,90
CYE00100071,2010-01-25,0,156,59
CYE00100071,2010-01-26,0,123,42
CYE00100071,2010-01-27,5,138,68
CYE00100071,2010-01-28,92,167,86
CYE00100071,2010-01-29,17,185,116
CYE00100071,2010-01-30,5,185,126
CYE00100071,2010-01-31,18,190,139
CYE00100071,2010-02-01,42,195,111
CYE00100071,2010-02-02,0,192,94
CYE00100071,2010-02-03,0,172,79
CYE00100071,2010-02-04,0,136,44
CYE00100071,2010-02-05,0,135,20
CYE00100071,2010-02-06,0,146,31
CYE00100071,2010-02-07,187,168,60
CYE00100071,2010-02-08,3,181,111
CYE00100071,2010-02-09,0,187,94
CYE00100071,2010-02-10,0,195,84
CYE00100071,2010-02-11,0,206,137
CYE00100071,2010-02-12,0,221,109
CYE00100071,2010-02-13,0,200,115
CYE00100071,2010-02-14,0,230,92
CYE00100071,2010-02-15,0,231,140
CYE00100071,2010-02-16,0,219,102
CYE00100071,2010-02-17,0,194,108
CYE00100071,2010-02-18,0,218,113
CYE00100071,2010-02-19,0,220,126
CYE00100071,2010-02-20,0,215,102
CYE00100071,2010-02-21,0,231,130
CYE00100071,2010-02-22,0,212,132
CYE00100071,2010-02-23,9,200,130
CYE00100071,2010-02-24,370,182,91
CYE00100071,2010-02-25,41,176,109
CYE00100071,2010-02-26,60,192,107
CYE00100071,2010-02-27,6,190,91
CYE00100071,2010-02-28,0,191,112
CYE00100071,2010-03-01,0,215,90
CYE00100071,2010-03-02,0,209,97
CYE00100071,2010-03-03,0,225,106
CYE00100071,2010-03-04,0,195,79
CYE00100071,2010-03-05,0,220,122
CYE00100071,2010-03-06,0,205,106
CYE00100071,2010-03-07,0,210,116
CYE00100071,2010-03-08,0,215,144
CYE00100071,2010-03-09,0,230,170
CYE00100071,2010-03-10,0,210,123
CYE00100071,2010-03-11,0,240,129
CYE00100071,2010-03-12,0,240,132
CYE00100071,2010-03-13,0,200,125
CYE00100071,2010-03-14,0,220,150
CYE00100071,2010-03-15,0,230,150
CYE00100071,2010-03-16,0,200,135
CYE00100071,2010-03-17,79,190,115
CYE00100071,2010-03-18,0,185,100
CYE00100071,2010-03-19,0,180,85
CYE00100071,2010-03-20,0,195,95
CYE00100071,2010-03-21,0,205,85
CYE00100071,2010-03-22,0,210,105
CYE00100071,2010-03-23,0,235,89
CYE00100071,2010-03-24,0,249,99
CYE00100071,2010-03-25,1,199,88
CYE00100071,2010-03-26,0,209,110
CYE00100071,2010-03-27,0,221,122
CYE00100071,2010-03-28,0,206,108
CYE00100071,2010-03-29,0,212,129
CYE00100071,2010-03-30,0,220,116
CYE00100071,2010-03-31,0,205,100
CYE00100071,2010-04-01,0,200,115
CYE00100071,2010-04-02,0,200,120
CYE00100071,2010-04-03,0,242,135
CYE00100071,2010-04-04,0,220,135
CYE00100071,2010-04-05,0,254,130
CYE00100071,2010-04-06,6,258,128
CYE00100071,2010-04-07,0,216,129
CYE00100071,2010-04-08,0,215,128
CYE00100071,2010-04-09,7,217,107
CYE00100071,2010-04-10,0,205,110
CYE00100071,2010-04-11,1,240,154
CYE00100071,2010-04-12,0,210,162
CYE00100071,2010-04-13,0,210,111
CYE00100071,2010-04-14,0,210,115
CYE00100071,2010-04-15,0,230,130
CYE00100071,2010-04-16,0,270,125
CYE00100071,2010-04-17,0,260,145
CYE00100071,2010-04-18,0,255,160
CYE00100071,2010-04-19,34,229,150
CYE00100071,2010-04-20,0,244,161
CYE00100071,2010-04-21,16,227,161
CYE00100071,2010-04-22,0,220,135
CYE00100071,2010-04-23,0,245,119
CYE00100071,2010-04-24,0,240,124
CYE00100071,2010-04-25,0,254,140
CYE00100071,2010-04-26,0,278,165
CYE00100071,2010-04-27,0,245,154
CYE00100071,2010-04-28,0,235,131
CYE00100071,2010-04-29,0,225,145
CYE00100071,2010-04-30,13,220,150
CYE00100071,2010-05-01,0,230,145
CYE00100071,2010-05-02,0,240,125
CYE00100071,2010-05-03,0,240,140
CYE00100071,2010-05-04,0,250,140
CYE00100071,2010-05-05,0,250,150
CYE00100071,2010-05-06,0,250,160
CYE00100071,2010-05-07,0,260,175
CYE00100071,2010-05-08,0,270,175
CYE00100071,2010-05-09,0,245,195
CYE00100071,2010-05-10,0,320,180
CYE00100071,2010-05-11,0,305,170
CYE00100071,2010-05-12,0,270,165
CYE00100071,2010-05-13,0,280,140
CYE00100071,2010-05-14,0,270,145
CYE00100071,2010-05-15,0,300,130
CYE00100071,2010-05-16,0,290,190
CYE00100071,2010-05-17,2,270,200
CYE00100071,2010-05-18,0,248,161
CYE00100071,2010-05-19,0,255,166
CYE00100071,2010-05-20,0,241,149
CYE00100071,2010-05-21,1,251,145
CYE00100071,2010-05-22,0,258,151
CYE00100071,2010-05-23,0,245,173
CYE00100071,2010-05-24,0,248,168
CYE00100071,2010-05-25,0,250,175
CYE00100071,2010-05-26,0,268,171
CYE00100071,2010-05-27,0,293,190
CYE00100071,2010-05-28,0,270,192
CYE00100071,2010-05-29,0,279,192
CYE00100071,2010-05-30,0,275,195
CYE00100071,2010-05-31,0,300,210
CYE00100071,2010-06-01,0,305,203
CYE00100071,2010-06-02,0,281,198
CYE00100071,2010-06-03,0,270,204
CYE00100071,2010-06-04,0,280,198
CYE00100071,2010-06-05,0,290,208
CYE00100071,2010-06-06,0,328,225
CYE00100071,2010-06-07,0,271,204
CYE00100071,2010-06-08,0,271,201
CYE00100071,2010-06-09,0,271,195
CYE00100071,2010-06-10,0,265,189
CYE00100071,2010-06-11,0,260,204
CYE00100071,2010-06-12,0,305,204
CYE00100071,2010-06-13,0,312,225
